0,186075,185890
10000,187300,187486
20000,184481,183867
30000,181652,181938
40000,184734,184995
50000,182291,181371
60000,181153,180595
70000,181372,180799
80000,182456,182140
90000,186832,186840
100000,183093,183140
110000,186134,185403
120000,182717,182531
130000,186312,185571
140000,186860,186796
150000,187380,186963
160000,185495,185497
170000,184834,184811
180000,186731,185829
190000,187200,186885
200000,185440,185313
210000,186331,186112
220000,184181,183770
230000,183063,182895
240000,182897,181937
250000,184415,183632
260000,184546,184272
270000,183599,183779
280000,186599,186295
290000,183397,182578
300000,184819,184491
310000,181811,181326
320000,184772,184526
330000,186925,187400
340000,186278,185714
350000,186133,185717
360000,184477,184601
370000,188353,187662
380000,181712,181888
390000,183386,182846
400000,183954,183717
410000,181675,181048
420000,183538,182999
430000,185209,185177
440000,183243,183101
450000,181114,180910
460000,182056,181348
470000,185021,184501
480000,185764,185314
490000,185473,185358
